timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1751619128489,1,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11277,,false,,0,0,1,1,null,0,0,1
1751619128490,1,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11278,,false,,0,0,1,1,null,0,0,1
1751619128492,0,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11279,,false,,0,0,1,1,null,0,0,0
1751619128493,1,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11280,,false,,0,0,2,2,null,0,0,1
1751619128493,1,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11281,,false,,0,0,2,2,null,0,0,1
1751619128494,1,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11282,,false,,0,0,1,1,null,0,0,1
1751619128495,1,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11283,,false,,0,0,1,1,null,0,0,1
1751619128496,1,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11284,,false,,0,0,1,1,null,0,0,1
1751619128497,1,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11285,,false,,0,0,1,1,null,0,0,1
1751619128498,1,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11286,,false,,0,0,2,2,null,0,0,1
1751619128498,1,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11287,,false,,0,0,2,2,null,0,0,1
1751619128499,1,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11288,,false,,0,0,1,1,null,0,0,1
1751619128500,1,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11289,,false,,0,0,1,1,null,0,0,1
1751619128502,0,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11290,,false,,0,0,1,1,null,0,0,0
1751619128504,0,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11291,,false,,0,0,1,1,null,0,0,0
1751619128505,1,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11292,,false,,0,0,2,2,null,0,0,1
1751619128505,1,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11293,,false,,0,0,2,2,null,0,0,1
1751619128506,1,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11294,,false,,0,0,1,1,null,0,0,1
1751619128508,0,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11295,,false,,0,0,1,1,null,0,0,0
1751619128509,1,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11297,,false,,0,0,2,2,null,0,0,1
1751619128509,1,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11296,,false,,0,0,2,2,null,0,0,1
1751619128511,0,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11298,,false,,0,0,1,1,null,0,0,0
1751619128512,0,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11299,,false,,0,0,1,1,null,0,0,0
1751619128513,0,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11301,,false,,0,0,2,2,null,0,0,0
1751619128513,0,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11300,,false,,0,0,2,2,null,0,0,0
1751619128516,1,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11304,,false,,0,0,1,1,null,0,0,1
1751619128518,0,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11305,,false,,0,0,2,2,null,0,0,0
1751619128518,1,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11303,,false,,0,0,3,3,null,0,0,1
1751619128519,0,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11306,,false,,0,0,2,2,null,0,0,0
1751619128519,0,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11307,,false,,0,0,2,2,null,0,0,0
1751619128520,1,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11308,,false,,0,0,2,2,null,0,0,1
1751619128520,1,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11302,,false,,0,0,2,2,null,0,0,1
1751619128521,0,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11309,,false,,0,0,1,1,null,0,0,0
1751619128522,1,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11310,,false,,0,0,1,1,null,0,0,1
1751619128524,0,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11311,,false,,0,0,2,2,null,0,0,0
1751619128523,1,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11312,,false,,0,0,2,2,null,0,0,1
1751619128525,1,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11313,,false,,0,0,1,1,null,0,0,1
1751619128526,1,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11314,,false,,0,0,1,1,null,0,0,1
1751619128527,1,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11315,,false,,0,0,1,1,null,0,0,1
1751619128528,1,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11316,,false,,0,0,1,1,null,0,0,1
1751619128530,0,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11317,,false,,0,0,2,2,null,0,0,0
1751619128530,0,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11318,,false,,0,0,2,2,null,0,0,0
1751619128531,1,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11319,,false,,0,0,1,1,null,0,0,1
1751619128532,1,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11320,,false,,0,0,1,1,null,0,0,1
1751619128535,0,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11322,,false,,0,0,1,1,null,0,0,0
1751619128536,0,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11321,,false,,0,0,2,2,null,0,0,0
1751619128536,0,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11323,,false,,0,0,2,2,null,0,0,0
1751619128537,0,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11324,,false,,0,0,1,1,null,0,0,0
1751619128538,0,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11325,,false,,0,0,1,1,null,0,0,0
1751619128539,1,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11327,,false,,0,0,2,2,null,0,0,1
1751619128539,1,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11326,,false,,0,0,2,2,null,0,0,1
1751619128541,0,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11328,,false,,0,0,2,2,null,0,0,0
1751619128541,0,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11329,,false,,0,0,2,2,null,0,0,0
1751619128543,1,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11330,,false,,0,0,1,1,null,0,0,1
1751619128544,1,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11332,,false,,0,0,3,3,null,0,0,1
1751619128544,1,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11333,,false,,0,0,2,2,null,0,0,1
1751619128544,1,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11331,,false,,0,0,2,2,null,0,0,1
1751619128546,1,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11334,,false,,0,0,1,1,null,0,0,1
1751619128547,1,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11335,,false,,0,0,2,2,null,0,0,1
1751619128547,1,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11336,,false,,0,0,2,2,null,0,0,1
